labels,features
neutral, what said 
positive, plus you ve added commercials to the experience tacky 
neutral, didn today must mean need to take another trip 
negative, it really aggressive to blast obnoxious entertainment in your guests faces amp they have little recourse
negative, and it a really big bad thing about it
negative, seriously would pay flight for seats that didn have this playing it really the only bad thing about flying va
positive, yes nearly every time fly vx this ear worm won go away 
neutral, really missed prime opportunity for men without hats parody there grezp
positive, well didn but now do d
positive, it was amazing and arrived an hour early you re too good to me 
neutral, did you know that suicide is the second leading cause of death among teens 
positive, lt pretty graphics so much better than minimal iconography d
positive, this is such great deal already thinking about my nd trip to amp haven even gone on my st trip yet p
positive, m flying your fabulous seductive skies again take all the stress away from travel 
positive, thanks 
negative, sfo pdx schedule is still mia 
positive, so excited for my first cross country flight lax to mco ve heard nothing but great things about virgin america daystogo
negative, flew from nyc to sfo last week and couldn fully sit in my seat due to two large gentleman on either side of me help 
positive,i flying 
positive, you know what would be amazingly awesome bos fll please want to fly with only you 
negative, why are your first fares in may over three times more than other carriers when all seats are available to select 
positive, love this graphic grrwaaa
positive, love the hipster innovation you are feel good brand 
neutral, will you be making bos gt las non stop permanently anytime soon 
negative, you guys messed up my seating reserved seating with my friends and you guys gave my seat away want free internet
negative, status match program applied and it been three weeks called and emailed with no response 
negative, what happened ur vegan food options at least say on ur site so know won be able eat anything for next hrs fail
neutral, do you miss me don worry we ll be together very soon 
negative, amazing to me that we can get any cold air from the vents vx noair worstflightever roasted sfotobos
neutral, lax to ewr middle seat on red eye such noob maneuver sendambien andchexmix
negative, hi just bked cool birthday trip with you but can add my elevate no cause entered my middle name during flight booking problems 
neutral, are the hours of operation for the club at sfo that are posted online current 
negative, help left expensive headphones on flight iad to lax today seat no one answering amp number at lax 
negative, awaiting my return phone call just would prefer to use your online self service option 
positive, this is great news america could start flights to hawaii by end of year zy fe via 
neutral,nice rt vibe with the moodlight from takeoff to touchdown moodlitmonday sciencebehindtheexperience unxtqp
positive, moodlighting is the only way to fly best experience ever cool and calming moodlitmonday
positive, done and done best airline around hands down 
neutral, when can book my flight to hawaii 
negative, your chat support is not working on your site gtdwpk
positive, view of downtown los angeles the hollywood sign and beyond that rain in the mountains nf ibtr
negative, hey first time flyer next week excited but m having hard time getting my flights added to my elevate account help 
neutral, plz help me win my bid upgrade for my flight lax gt sea 
neutral, have an unused ticket but moved to new city where you don fly how can fly with you before it expires travelhelp
neutral, are flights leaving dallas for seattle on time feb 
positive, m elevategold for good reason you rock 
neutral, dream drfaoq khx
positive, wow this just blew my mind
neutral, after last night tribute soundofmusic oscars think agree
neutral, all were entertaining
neutral, is flight on it way was supposed to take off minutes ago website still shows on time not in flight thanks 
positive, julie andrews all the way though was very impressive no to 
neutral, wish you flew out of atlanta soon 
neutral, julie andrews hands down 
neutral, will flights be leaving dallas for la on february th 
negative, hi m so excited about your lga gt dal deal but ve been trying book since last week amp the page never loads thx 
positive, you know it need it on my spotify stat guiltypleasures
positive, m lady gaga she is amazing 
neutral, carrie 
neutral, new marketing song lfulcbq let us know what you think 
neutral, julie andrews first but lady gaga wow me last night carrie meh 
negative, called weeks ago about adding flights from to my elevate they still haven shown up help 
neutral, all are great but have to go with carrieunderwood 
neutral, sorry mary martin had it first 
positive, love all three but you really can beat the classics 
neutral, flight dal to dca pm tried to check in could not status please 
negative, heyyyy guyyyys been trying to get through for an hour can someone call me please 
negative, hi virgin m on hold for minutes are there any earlier flights from la to nyc tonight earlier than pm 
positive, congrats on winning the award for best deals from an airline us iljaebv
negative, everything was fine until you lost my bag
neutral, need to change reservation have virgin credit card do need to modify on phone to waive change fee or can do online 
neutral, emailed your customer service team let me know if you need the tracking number 
neutral, hi just booked flight but need to add baggage how can do this 
negative, your airline is awesome but your lax loft needs to step up its game for dirty tables and floors vrfhjht
positive, not worried it been great ride in new plane with great crew all airlines should be like this 
positive, awesome flew yall sat morning any way we can correct my bill 
neutral, or watch some of the best student films in the country at feet cmfat feet pdmgif
neutral, first time flying you all do you have different rate policy for media bags thanks
negative, what is going on with customer service is there anyway to speak to human asap thank you 
neutral, what happened to doom 
negative, why can you supp the biz traveler like and have customer service like neverflyvirginforbusiness
positive, ve applied more then once to be member of the inflight crew team im interested flightattendant dreampath g
negative, you re the best whenever begrudgingly use any other airline m delayed and late flight 
negative, have no interesting flying with you after this will cancelled flight my next four flights planned neverflyvirginforbusiness
negative, it was disappointing experience which will be shared with every business traveler meet neverflyvirgin
negative, m having trouble adding this flight my wife booked to my elevate account help hqoks r
neutral, can bring up my reservation online using flight booking problems code
neutral, random what the distribution of elevate avatars bet that kitty has disproportionate share 
neutral, lt flying va but life happens and am trying to change my trip jperhi can you help va home page will not let me 
negative, why is the site down when will it be back up 
neutral, you down with rnp yeah you know me 
neutral, hi did not get points on my elevate account for my most recent flight how do add the flight and points to my account 
negative, like the tv and interesting video just disappointed in cancelled flightled flight when other flights went out to jfk on saturday 
negative, just landed in lax an hour after should of been here your no late flight bag check is not business travel friendly nomorevirgin
neutral, why is flight redirected 
negative, is it me or is your website down btw your new website isn a great user experience time for another redesign 
negative, can check in or add bag your website isn working ve tried both desktop and mobile y
